timestamp,open,high,low,close,volume,sma5,ema5,sma200,sma20,rsi14
2018-09-04,296.94,298.19,288.0,288.95,8350469,302.1260000000009,301.21309098187294,318.4170999999997,328.3170000000001,34.80179231663439
2018-09-05,285.05,286.78,277.18,280.74,7720821,295.90200000000084,294.3887273212486,318.2582999999997,323.3755000000001,32.16045161414341
2018-09-06,284.8,291.17,278.88,280.95,7480760,291.0900000000009,289.90915154749905,318.0877999999997,318.90600000000006,32.301985218630804
2018-09-07,260.1,268.35,252.2548,263.24,22491931,283.1080000000009,281.01943436499937,317.86029999999965,314.4455000000001,27.156420014434858
2018-09-10,273.26,286.03,271.0,285.5,14283528,279.8760000000009,282.5129562433329,317.6987499999997,310.9460000000001,40.07716380260035
2018-09-11,279.47,282.0,273.55,279.44,9169989,277.9740000000009,281.4886374955553,317.5329499999997,307.0975000000001,38.0960547481387
2018-09-12,281.44,292.5,278.6463,290.54,10015427,279.9340000000009,284.5057583303702,317.4078999999997,304.24250000000006,43.595976677120085
2018-09-13,288.02,295.0,285.18,289.46,6340336,281.6360000000009,286.1571722202468,317.2711499999997,301.78100000000006,43.19386588235633
2018-09-14,288.76,297.3256,286.52,295.2,6765612,288.0280000000009,289.1714481468312,317.15939999999966,299.7685000000001,46.042420805552176
2018-09-17,290.04,300.87,288.13,294.84,6887577,289.89600000000087,291.0609654312208,317.09589999999963,299.2355000000001,45.8870052912778
2018-09-18,296.69,302.64,275.5,284.96,16547522,291.00000000000085,289.02731028748053,316.97644999999966,298.06150000000014,41.72439812150496
2018-09-19,280.51,300.0,280.5,299.02,8294917,292.6960000000009,292.35820685832033,316.93889999999965,296.91750000000013,48.83723399550714
2018-09-20,303.56,305.98,293.33,298.33,7349422,294.4700000000008,294.34880457221357,316.90454999999963,295.75200000000007,48.52422051541381
2018-09-21,297.7,300.58,295.37,299.1,5050478,295.25000000000085,295.9325363814757,316.88154999999966,294.7020000000001,48.91768799691422
2018-09-24,298.48,302.9993,293.58,299.68,4842961,296.21800000000087,297.1816909209838,316.81364999999965,293.54500000000013,49.23247288499067
2018-09-25,300.0,304.6,296.5,300.99,4481729,299.4240000000009,298.45112728065584,316.7623999999997,292.63100000000014,49.982187554671384
2018-09-26,301.91,313.89,301.1093,309.58,7843216,301.53600000000085,302.1607515204372,316.73464999999965,292.51700000000017,54.705651140178695
2018-09-27,312.9,314.96,306.91,307.52,8509084,303.3740000000009,303.94716768029144,316.62769999999966,292.6425000000001,53.4031986564586
2018-09-28,270.26,278.0,260.56,264.77,33649700,296.5080000000009,290.888111786861,316.24639999999965,290.7235000000002,34.85648774309897
2018-10-01,305.77,311.44,301.05,310.7,21777597,298.7120000000009,297.492074524574,316.1047499999996,291.17550000000017,53.529733257726626
2018-10-02,313.95,316.84,299.15,301.02,11743511,298.71800000000087,298.66804968304933,315.92039999999963,291.7790000000001,50.25984170833964
2018-10-03,303.33,304.6,291.57,294.8,7994988,295.7620000000009,297.3786997886996,315.67714999999964,292.48200000000014,48.22149232243989
2018-10-04,293.95,294.0,277.67,281.83,9814212,290.6240000000009,292.19579985913305,315.3919499999996,292.5260000000002,44.196375921828135
2018-10-05,274.65,274.88,260.0,261.95,17944537,290.0600000000009,282.11386657275534,315.0461999999996,292.46150000000017,38.844257551773474
2018-10-08,264.52,267.7599,249.0,250.56,13472653,278.0320000000009,271.5959110485036,314.6540999999996,290.71450000000016,36.14364069174293
2018-10-09,255.25,266.77,253.3,262.8,12060574,270.3880000000009,268.6639406990024,314.3097999999996,289.8825000000002,40.89889884994006
2018-10-10,264.61,265.51,247.77,256.88,12815278,262.8040000000009,264.7359604660016,313.96819999999957,288.1995000000002,39.37175586698887
2018-10-11,257.53,262.25,249.03,252.23,8167738,256.88400000000087,260.5673069773344,313.6428999999996,286.3380000000002,38.16626566693244
2018-10-12,261.0,261.99,252.01,258.78,7201404,256.25000000000085,259.9715379848896,313.3785999999996,284.51700000000017,40.910747903546955
2018-10-15,259.06,263.28,254.5367,259.59,6199965,258.05600000000084,259.84435865659304,313.0997499999996,282.7545000000002,41.257973931608056
