timestamp,open,high,low,close,volume,sma5,rsi14
2016-03-18,131.24,134.68,131.01,133.96,9108270,128.98600000000005,74.18331436525202
2016-03-21,133.46,136.78,133.39,135.86,5670920,130.89000000000004,76.27271392883071
2016-03-22,135.14,136.1,134.78,135.12,4988386,132.64200000000002,73.76859290211817
2016-03-23,134.99,135.0,132.74,132.86,4360844,133.70000000000005,66.57929155775017
2016-03-24,131.61,132.23,130.03,132.12,4573148,133.98400000000007,64.36727548165797
2016-03-28,132.53,132.6197,130.55100000000002,131.29,3352222,133.45000000000005,61.88381505076938
2016-03-29,129.83,130.93,128.18,130.88,4910240,132.45400000000004,60.63919724723814
2016-03-30,131.48,132.73,128.02,128.58,5947918,131.14600000000004,54.069572980269236
2016-03-31,128.09,128.38,125.25,126.94,8758093,129.96200000000005,49.916832396449934
2016-04-01,126.23,127.09,125.11,126.96,5327834,128.93000000000006,49.96729929775371
2016-04-04,126.54,127.9725,125.88,126.34,5035241,127.94000000000008,48.34108555538013
2016-04-05,126.15,128.59,125.58,127.03,4660145,127.17000000000007,50.2804568540606
2016-04-06,127.16,128.04,125.75,127.93,3998013,127.04000000000008,52.77104614442183
2016-04-07,127.0,128.94,126.56,127.0,4596320,127.05200000000009,49.984687044233404
2016-04-08,128.04,130.02,127.61,127.88,3939820,127.23600000000008,52.538378153961496
2016-04-11,128.25,129.9,127.68,127.91,3611543,127.55000000000007,52.62717915993705
2016-04-12,127.62,130.38,126.68,129.47,4234105,128.03800000000007,57.1199907674472
2016-04-13,130.49,131.5,129.81,131.14,3514770,128.68000000000006,61.346258942778654
2016-04-14,131.5,131.9499,130.53,130.85,4527589,129.45000000000007,60.235999407402204
2016-04-15,130.95,131.5999,130.68,131.13,5008673,130.10000000000008,60.970470090977294
2016-04-18,130.64,132.25,130.32,131.97,3056130,130.9120000000001,63.16838604797271
2016-04-19,132.57,133.85,132.21,132.68,2930833,131.5540000000001,64.96432667858255
2016-04-20,128.55,131.36,128.49,130.57,6799035,131.44000000000008,56.19480013790891
2016-04-21,130.98,132.64,130.3,130.74,4799388,131.41800000000006,56.70193197181589
2016-04-22,131.09,131.83,130.5,131.05,3858140,131.40200000000007,57.66442615529899
2016-04-25,130.45,131.0,129.31,130.75,4600056,131.15800000000007,56.35875082652919
2016-04-26,131.25,133.27,131.06,133.24,6103130,131.27000000000007,63.7045940799744
2016-04-27,133.2,137.89,131.945,137.08,6930700,132.57200000000006,71.63426387637173
2016-04-28,136.29,137.72,134.5,134.8,4936111,133.38400000000007,62.85369657821361
2016-04-29,134.42,135.23,132.81,134.8,3716644,134.13400000000007,62.85369657821361
2016-05-02,134.38,135.0,133.2283,134.01,3703832,134.78600000000006,59.90308155953026
2016-05-03,132.7,133.31,131.46,132.49,4028700,134.63600000000005,54.59279192494797
2016-05-04,131.59,132.31,130.53,130.89,3340334,133.39800000000005,49.607636958964484
2016-05-05,131.73,132.64,131.12,132.08,4199192,132.85400000000004,53.042135663693145
2016-05-06,132.11,133.63,131.76,133.26,2465916,132.54600000000005,56.227914350170344
2016-05-09,132.8,133.81,131.82,132.1,3431065,132.16400000000004,52.460038893767035
2016-05-10,133.18,135.24,132.7913,134.73,3378345,132.61200000000005,59.14464730643196
2016-05-11,133.81,134.99,132.94,133.0,3284133,133.03400000000005,53.78705173691704
2016-05-12,133.49,135.04,133.49,134.42,4591261,133.50200000000004,57.213090874040375
2016-05-13,133.74,134.94,131.91,132.12,3965859,133.27400000000006,50.66171247610899
2016-05-16,131.63,134.41,131.55,134.14,3165440,133.68200000000004,55.483083619770326
2016-05-17,133.62,134.49,131.96,132.56,4031994,133.24800000000005,51.263360404665264
2016-05-18,132.45,133.18,130.3421,130.99,4060391,132.84600000000006,47.40523017112529
2016-05-19,130.24,130.43,127.085,128.08,5061552,131.57800000000006,41.21380604984671
2016-05-20,129.13,129.25,127.2117,127.39,3297732,130.63200000000006,39.88365775742961
2016-05-23,127.4,128.41,125.88,127.58,3977167,129.32000000000008,40.45356255816084
2016-05-24,127.76,128.8057,126.32,127.5,5101559,128.30800000000008,40.28041166466648
2016-05-25,128.0,129.78,127.37,128.86,4656798,127.88200000000009,44.620055467647084
2016-05-26,128.48,129.8965,128.3185,129.31,2586116,128.1280000000001,46.01785755434859
2016-05-27,128.96,129.7,128.83,129.22,3043644,128.49400000000009,45.76904077878946
2016-05-31,129.88,129.98,126.04,126.15,6893758,128.20800000000008,38.18462196202266
2016-06-01,126.0,126.5,124.78,126.41,4679140,127.99000000000008,39.10496981254215
2016-06-02,126.65,127.03,125.3201,126.85,4802106,127.58800000000008,40.713666174849735
2016-06-03,126.42,127.58,125.95,127.38,5484669,127.20200000000008,42.67802687701626
2016-06-06,127.6,132.08,127.45,131.9,6995916,127.73800000000008,56.05182435665196
2016-06-07,132.41,133.39,131.82,131.93,4423983,128.89400000000006,56.12499187487131
2016-06-08,132.52,133.53,132.04,133.0,3883726,130.21200000000007,58.762061667730826
2016-06-09,132.1,133.82,131.92,133.1,3811169,131.46200000000007,59.0100224513932
2016-06-10,131.76,132.12,130.37,131.14,3828593,132.21400000000008,52.36402959997305
2016-06-13,130.79,131.51,129.88,129.92,3645024,131.81800000000007,48.68827176386864
2016-06-14,129.63,130.5999,128.5,130.5,3716959,131.53200000000007,50.46839108329119
2016-06-15,130.88,131.765,129.97,130.16,3324652,130.96400000000006,49.3867613305096
2016-06-16,129.32,129.89,126.9,129.37,4066106,130.21800000000005,46.8730509125321
2016-06-17,129.83,129.99,128.81,129.82,6739624,129.95400000000006,48.481610243315224
2016-06-20,131.36,133.9,131.21,132.75,4331887,130.52000000000007,57.503802364113206
2016-06-21,133.19,133.28,131.485,131.52,2841040,130.72400000000007,53.2851102278227
2016-06-22,132.1,133.16,131.58,131.77,2640944,131.04600000000008,54.023418155074566
2016-06-23,133.91,134.55,132.73,133.55,4113696,131.8820000000001,58.99284722625213
2016-06-24,128.14,129.39,126.21,126.52,9706240,131.22200000000007,40.41391513688307
2016-06-27,125.68,125.75,122.35,122.7,6251280,129.21200000000007,34.124865047811284
2016-06-28,124.5,124.76,122.7,123.89,4437983,127.68600000000008,37.393324153451466
2016-06-29,125.49,127.315,124.16,126.99,4916718,126.73000000000009,45.04301450919574
2016-06-30,127.08,129.87,127.08,129.87,4110845,125.9940000000001,51.02951587296368
2016-07-01,129.54,130.34,129.16,129.69,3247885,126.62800000000011,50.6580971806817
2016-07-05,128.43,129.0,126.63,126.97,4828971,127.48200000000011,45.29325530452975
2016-07-06,127.25,127.31,123.96,126.96,3981574,128.09600000000012,45.274271847358
2016-07-07,126.92,128.17,126.26,127.17,3050067,128.13200000000012,45.78812635082852
2016-07-08,128.6,130.46,127.66,130.09,3597822,128.1760000000001,52.47089592016312
2016-07-11,130.84,133.25,130.8,132.04,3929575,128.6460000000001,56.341406448221754
2016-07-12,132.8,133.0,130.33,130.81,4317968,129.41400000000007,53.388101545006464
2016-07-13,131.28,131.39,129.37,130.11,3061397,130.04400000000007,51.72633532979014
2016-07-14,131.63,131.9175,130.2,131.55,3979813,130.9200000000001,54.84038015820858
2016-07-15,131.8,132.75,131.45,132.39,2940790,131.38000000000008,56.59917060199401
2016-07-18,132.38,133.89,131.95,133.43,3338398,131.65800000000007,58.741639484732694
2016-07-19,132.91,135.67,132.83100000000002,134.66,3390031,132.42800000000005,61.18227553784207
2016-07-20,134.55,135.18,134.04,134.72,2669691,133.35000000000008,61.30253089720082
2016-07-21,134.76,134.98,133.03,133.53,2853331,133.74600000000004,57.49794753707308
2016-07-22,131.75,133.49,130.57,133.47,4844935,133.96200000000005,57.30483567873863
2016-07-25,133.18,133.3016,132.38,132.94,3078497,133.86400000000003,55.53065161839267
2016-07-26,132.9,134.97,132.51,134.85,4666760,133.90200000000004,60.30079459942949
2016-07-27,136.14,139.45,135.71,135.96,5657810,134.15000000000003,62.79830687778067
2016-07-28,135.4,135.86,132.55,133.01,5142388,134.04600000000005,53.21634233142238
2016-07-29,133.05,133.8,132.3,133.66,3559058,134.08400000000003,54.85101441466643
